#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   2.48520  1.11147 -0.02608 -0.99569  0.001879  0.001412  0.002369     1.331
   2.50456  1.13071 -0.02392 -0.99262  0.001933  0.001450  0.002332     1.333
   2.52365  1.14966 -0.02166 -0.98791  0.002000  0.001496  0.002280     1.337
   2.54246  1.16833 -0.01933 -0.98148  0.002083  0.001551  0.002212     1.343
   2.56094  1.18665 -0.01693 -0.97389  0.002178  0.001613  0.002135     1.350
   2.57895  1.20450 -0.01451 -0.96515  0.002286  0.001683  0.002050     1.359
   2.59634  1.22172 -0.01211 -0.95526  0.002411  0.001761  0.001958     1.369
   2.61290  1.23811 -0.00975 -0.94397  0.002556  0.001851  0.001855     1.381
   2.62851  1.25356 -0.00748 -0.93128  0.002728  0.001954  0.001742     1.396
   2.64314  1.26802 -0.00531 -0.91593  0.002950  0.002083  0.001608     1.416
   2.65681  1.28154 -0.00323 -0.89622  0.003268  0.002258  0.001437     1.447
   2.66959  1.29416 -0.00126 -0.87006  0.003768  0.002514  0.001215     1.499
   2.67765  1.30212  0.00000 -0.82513  0.004977  0.003043  0.000829     1.635
   2.67765  1.30222  0.00000  0.82513  0.015128  0.008712  0.000000     1.736
   2.68571  1.31028 -0.00002  0.85329  0.012330  0.007703  0.000000     1.601
   2.69477  1.31934 -0.00002  0.86914  0.011097  0.007213  0.000000     1.538
   2.70496  1.32954  0.00000  0.88295  0.010169  0.006824  0.000000     1.490
   2.71642  1.34100  0.00004  0.89495  0.009449  0.006512  0.000000     1.451
   2.72931  1.35388  0.00010  0.90552  0.008867  0.006255  0.000000     1.418
   2.74380  1.36837  0.00019  0.91491  0.008386  0.006039  0.000000     1.389
   2.76009  1.38466  0.00031  0.92328  0.007978  0.005856  0.000000     1.362
   2.77841  1.40298  0.00047  0.93078  0.007626  0.005699  0.000000     1.338
   2.79901  1.42358  0.00067  0.93755  0.007318  0.005564  0.000000     1.315
   2.82217  1.44674  0.00093  0.94368  0.007044  0.005445  0.000000     1.294
   2.84822  1.47278  0.00125  0.94927  0.006799  0.005341  0.000000     1.273
   2.87750  1.50207  0.00165  0.95436  0.006576  0.005248  0.000000     1.253
   2.91043  1.53499  0.00214  0.95903  0.006373  0.005166  0.000000     1.234
   2.94746  1.57202  0.00275  0.96330  0.006187  0.005092  0.000000     1.215
   2.98910  1.61365  0.00349  0.96722  0.006016  0.005026  0.000000     1.197
   3.03591  1.66045  0.00438  0.97082  0.005859  0.004967  0.000000     1.180
   3.08855  1.71309  0.00546  0.97411  0.005715  0.004914  0.000000     1.163
   3.14775  1.77226  0.00676  0.97712  0.005583  0.004867  0.000000     1.147
   3.21431  1.83880  0.00831  0.97985  0.005463  0.004824  0.000000     1.132
   3.28915  1.91362  0.01017  0.98234  0.005354  0.004786  0.000000     1.119
   3.37330  1.99775  0.01237  0.98459  0.005256  0.004752  0.000000     1.106
   3.46793  2.09234  0.01499  0.98662  0.005168  0.004722  0.000000     1.095
   3.57433  2.19869  0.01808  0.98843  0.005090  0.004695  0.000000     1.084
   3.69397  2.31828  0.02173  0.99004  0.005021  0.004672  0.000000     1.075
   3.82850  2.45274  0.02601  0.99145  0.004961  0.004651  0.000000     1.066
   3.97977  2.60393  0.03103  0.99284  0.004906  0.004632  0.000000     1.059
